"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6984","alerts3","chromium","Sun Jun 08 16:55:48 IST 2025","passed","Sun Jun 08 16:55:55 IST 2025","","Alerts.spec.js","",""
"","7407","alerts2","chromium","Sun Jun 08 16:55:40 IST 2025","passed","Sun Jun 08 16:55:48 IST 2025","","Alerts.spec.js","",""
"","15000","alerts3","firefox","Sun Jun 08 15:02:16 IST 2025","passed","Sun Jun 08 15:02:31 IST 2025","","Alerts.spec.js","",""
"","1896","Particular element screenshot","chromium","Sun Jun 08 15:02:52 IST 2025","failed","Sun Jun 08 15:02:54 IST 2025","","Screenshot.spec.js","",""
"","10078","Particular element screenshot","firefox","Sun Jun 08 15:02:52 IST 2025","failed","Sun Jun 08 15:03:02 IST 2025","","Screenshot.spec.js","",""
"","9487","multiplefiles","chromium","Sun Jun 08 15:02:52 IST 2025","failed","Sun Jun 08 15:03:01 IST 2025","","Uploadfiles.spec.js","",""
"","3980","Login to application using POM","chromium","Sun Jun 08 15:07:33 IST 2025","passed","Sun Jun 08 15:07:37 IST 2025","","loginapplication.spec.js","",""
"","12802","multiplefiles","firefox","Sun Jun 08 15:03:21 IST 2025","failed","Sun Jun 08 15:03:34 IST 2025","","Uploadfiles.spec.js","",""
"","35465","Particular element screenshot","webkit","Sun Jun 08 15:03:58 IST 2025","broken","Sun Jun 08 15:04:34 IST 2025","","Screenshot.spec.js","",""
"","8883","multiplefiles","webkit","Sun Jun 08 15:03:39 IST 2025","failed","Sun Jun 08 15:03:48 IST 2025","","Uploadfiles.spec.js","",""
"","16947","alerts3","webkit","Sun Jun 08 15:03:03 IST 2025","passed","Sun Jun 08 15:03:20 IST 2025","","Alerts.spec.js","",""
"","12062","test","chromium","Tue Jun 03 22:10:00 IST 2025","passed","Tue Jun 03 22:10:12 IST 2025","","Pomtest.spec.js","",""
"","9496","alerts","chromium","Sun Jun 08 16:55:30 IST 2025","passed","Sun Jun 08 16:55:39 IST 2025","","Alerts.spec.js","",""
